행정구역_x,행정구역분류,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,montly-avg_단독다가구,dep-avg_단독다가구_월세,montly-avg_아파트,dep-avg_아파트_월세,montly-avg_연립다세대,dep-avg_연립다세대_월세,montly-avg_오피스텔,dep-avg_오피스텔_월세,dep-avg_단독다가구_전세,dep-avg_아파트_전세,dep-avg_연립다세대_전세,dep-avg_오피스텔_전세,montly-avg_mean,dep-avg_rent_mean,dep-avg_deposit_mean,count_도시철도,count_bus,count_transport,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식,sum_all_shop
전라북도 익산시 용안면,35030360,758,2504,1440,52.63888889,30.2715655,0.0001,,,,,,,,,1100,,,,0,0,1100,,,,3,0,1,1,23,10,1,3,0,18,1158
전라북도 익산시 낭산면,35030370,799,2823,1564,51.08695652,28.30322352,0.0001,,,,,,,,,3000,,,,0,0,3000,,,,6,4,0,3,30,8,1,4,2,23,1419
전라북도 익산시 망성면,35030380,866,2786,1645,52.6443769,31.08399139,0.0001,30,300,,,30,500,,,6000,,3000,,30,400,4500,,,,1,0,0,0,24,2,3,3,0,12,1023
전라북도 익산시 여산면,35030390,924,3072,1752,52.73972603,30.078125,0.0001,20,100,,,,,,,,,,,20,100,0,,,,1,2,0,2,41,11,1,2,3,50,1563
전라북도 익산시 금마면,35030400,"1,124",5169,2540,44.2519685,21.74501838,0.0001,40.4,210,,,42.6,7000,,,,6500,23800,,41.5,3605,15150,,,,9,7,1,5,94,32,31,8,15,123,1917
전라북도 익산시 왕궁면,35030410,"1,401",4688,2665,52.57035647,29.88481229,0.0001,,,54.70588235294117,2058.823529411765,,,,,6000,12473.684210526317,,,54.70588235294117,2058.823529411765,9236.842105263158,,,,5,2,0,4,108,9,3,7,1,33,1713
전라북도 익산시 춘포면,35030420,"1,279",4330,2415,52.96066253,29.53810624,0.0001,55,5166.666666666667,33.458333333333336,1033.3333333333333,26,4500,,,,4673.333333333333,6000,,38.15277777777778,3566.6666666666665,5336.666666666666,,,,9,2,0,0,46,13,3,5,4,39,1571
전라북도 익산시 삼기면,35030430,611,2498,1304,46.85582822,24.45956765,0.0001,30,1500,,,,,,,10000,,7000,,30,1500,8500,,,,4,2,0,1,27,5,3,2,5,20,1696
전라북도 익산시 용동면,35030440,373,1440,800,46.625,25.90277778,0,,,,,,,,,,,,,0,0,0,,,,2,1,0,0,12,1,2,1,0,3,1373
전라북도 익산시 중앙동,35030510,"1,307",3085,1989,65.71141277,42.36628849,0.0001,27.33333333333333,1033.3333333333333,48.36842105263158,884.2105263157895,,,,,4716.666666666667,10648.387096774191,5000,,37.85087719298245,958.7719298245613,6788.351254480286,,,,52,28,6,13,437,71,25,33,11,186,2859
