행정구역분류,행정구역_x,지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,단독다가구 월세 단위면적당 보증금,단독다가구 단위면적당 월세금,단독다가구 전세 단위면적당 보증금,아파트 월세 단위면적당 보증금,아파트 단위면적당 월세금,아파트 전세 단위면적당 보증금,연립다세대 월세 단위면적당 보증금,연립다세대 단위면적당 월세금,연립다세대 전세 단위면적당 보증금,오피스텔 월세 단위면적당 보증금,오피스텔 단위면적당 월세금,오피스텔 전세 단위면적당 보증금,평균 월세 단위면적당 보증금,평균 단위면적당 월세금,평균 전세 단위면적당 보증금,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),count_bus,count_transport,count_도시철도,sum_all_shop,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식
31101,경기도 고양시 덕양구,37.43994088428571,16.968419807761904,0.0004,50.38211059612707,1.2422276090167752,240.4967860862784,92.01955177876978,1.0782560497369458,384.44800984442855,74.94495723276168,1.151010762631594,294.7444977222969,73.33208407415047,1.9505734843030478,461.57146210835697,72.66967592078001,1.355516976422091,345.31518894027334,82712,496438,220682,1206,1218,12,63989,1954,1094,217,839,4038,2091,118,750,840,4897
31103,경기도 고양시 일산동구,36.520739400833335,17.09481662,0.000416667,37.83016715446315,1.1964372160822552,224.40010374766882,75.06427727253147,1.2314595506121722,386.02670463953524,85.56544558102992,1.1261836998923023,295.50196564109496,57.93658470848996,1.8841727299035433,447.1285534603023,64.09911868,1.359563299147924,338.2643318721503,48301,291597,127885,577,583,6,37126,2153,921,198,627,3739,1928,53,780,727,4224
31104,경기도 고양시 일산서구,28.693516236363635,11.749725776636364,0.000318182,27.533284909372863,1.0954135667023297,174.08105758693665,67.22515658761223,1.2249839386213446,344.3712581785346,64.57710668204147,1.1869254179958086,269.9291209308733,56.05727311742522,1.822525535688662,425.48647445576574,53.848205323692234,1.3324621147520364,303.46697778790934,34117,286872,115813,490,494,4,57990,815,731,131,361,2670,1313,80,442,514,2670
31110,경기도 과천시,22.280025596285714,8.776453368285715,8.571428571428573e-05,143.11513408965436,1.1497576324926706,381.80638900516914,341.8084868212444,1.7362025959120035,838.2227389811269,247.49894961374383,1.337535622658536,547.9032001288509,99.74826849,1.931864149145129,501.3399441338467,208.04270975315805,1.5388400000520848,567.3180680622485,6123,81000,29194,140,145,5,27900,302,179,33,148,524,199,2,60,51,596
31120,경기도 구리시,36.1121399,16.55287573,0.0003625,55.53540099332024,1.209718575140193,254.4089704433192,136.5943593102093,1.234474125934685,485.8708416460529,97.06610195,1.2477441433903351,339.6036449895603,58.123120071658484,1.9611375273799432,461.4544751071667,86.82974558,1.4132685929612891,385.33448304387827,28264,187093,80450,332,334,2,37839,1368,432,136,375,2305,1093,107,375,399,2487
31130,경기도 남양주시,36.58352387,17.003533212562502,0.000625,49.336302583100945,1.2584255029185571,235.18408969547107,88.11341297475796,0.8885228565512523,359.322894,65.52851529,1.1169243705782135,221.30817387044874,46.87473232872997,1.7993260366795936,398.5769702861518,62.463240794479816,1.265799691681904,303.5980319654309,98566,732265,304768,1902,1918,16,58737,2651,1113,202,976,5690,2720,246,1023,973,6545
31140,경기도 오산시,43.05435330166667,21.300873946666666,0.000766667,30.92534413557678,1.476937383479308,215.95271506338352,77.24110597950511,0.6810629265857262,305.5079981032766,45.16877759098597,1.492058146748799,246.51265105889195,47.24027679923714,1.587383133133699,327.13116640232425,50.14387612693553,1.309360397441168,273.7761326569691,44185,229656,104437,452,456,4,24276,1047,424,82,346,2021,1170,146,435,525,2933
31150,경기도 시흥시,40.33283613,20.16748171,0.00044,33.061787789729195,1.0438958228693234,195.77699212098577,76.47735585859088,1.0737171616236514,314.0832282523128,48.34648945340665,1.146980522997858,230.38552440781592,46.89769387571048,1.6199645437707535,387.1826054659906,51.19583174458742,1.2211395128153966,281.8570875621387,87400,519715,228474,1139,1148,9,43050,1179,791,181,845,4157,1986,151,621,1023,5857
31160,경기도 군포시,34.84001633916667,15.862011146999999,0.000333333,50.483980315996156,1.0853221136386324,220.61130338264624,118.65751853447638,1.1274001617004747,404.1120426406835,72.79769630904715,1.4690644013918093,291.1414030670359,63.357728853646414,1.8525341684285388,432.4060885011757,76.32423100329153,1.3835802112898639,337.06770939866544,39913,261229,113032,454,460,6,16630,931,482,103,388,1848,1249,92,355,475,2919
31170,경기도 의왕시,29.067587883333335,12.08067484,0.0003,59.72904073,1.0964980489234537,279.5858604381559,207.7067422137583,1.0113473342950283,524.4353104088726,134.70752693269586,1.1930990183634156,350.2905246326031,127.88752873443224,1.5620811496288993,430.13453548439276,132.5077096531193,1.2157563878026993,396.11155774100604,18494,158870,64402,426,427,1,30249,555,256,52,209,999,463,23,154,223,1398
