행정구역_x,행정구역분류,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식,sum_all_shop,count_bus,count_도시철도,count_transport,단독다가구 월세 단위면적당 보증금,단독다가구 단위면적당 월세금,단독다가구 전세 단위면적당 보증금,아파트 월세 단위면적당 보증금,아파트 단위면적당 월세금,아파트 전세 단위면적당 보증금,연립다세대 월세 단위면적당 보증금,연립다세대 단위면적당 월세금,연립다세대 전세 단위면적당 보증금,오피스텔 월세 단위면적당 보증금,오피스텔 단위면적당 월세금,오피스텔 전세 단위면적당 보증금
경기도 김포시 장기동,31230560,"4,708",40770,16036,29.35894238,11.54770665,0.0005,517,140,10,73,395,175,6,70,41,622,4096,59,1,60,28.630240933309143,1.3779001702836469,207.7801588693537,73.74225485797521,0.4126672564549342,,101.96327760341032,0.432850306,257.9113320905645,24.082858950031625,2.042694497,377.90036555419135
경기도 김포시 운양동,31230600,"4,619",49307,18596,24.83867498,9.367838238,0.0005,119,204,17,77,314,221,2,41,66,386,3740,63,1,64,60.51862245816712,1.3323436536202018,332.913196,69.02660032731754,1.5834401992786735,421.42002829964576,215.43219046749655,1.4919862305263707,507.9022828536503,32.17285490910891,1.7668418205265048,375.18502003813785
경기도 김포시 김포본동,31230610,"5,542",58564,22466,24.66838779,9.463151424,0.0006,121,124,20,68,484,226,10,66,98,444,4006,110,1,111,18.742509110905537,0.7983599431063878,133.2150756,60.88025450751136,1.2110294202938914,334.3004704786919,55.38078923341741,0.9002354313560001,241.6114584964225,36.59567345784602,2.3045722200514125,486.8736777151453
경기도 김포시 장기본동,31230620,"2,678",39254,13810,19.39174511,6.822234677,0.0003,53,103,37,23,197,101,0,11,46,272,3046,52,,52,30.60940009431367,1.4216497473247054,196.90591062115308,60.76376610525383,1.4465976195917345,371.0658468333373,71.71677826201828,1.7848197036008413,424.2859105720393,,,
경기도 김포시 구래동,31230630,"9,199",45200,20839,44.14319305,20.35176991,0.0009,655,185,53,137,534,315,15,125,156,878,5524,52,1,53,22.382140841392136,1.3331307917972557,195.0883350848041,77.84696339517703,0.5413487392523048,381.6009400120184,,,,34.66657957728177,1.7320844023733433,413.4999245
경기도 김포시 마산동,31230640,"5,270",35481,15114,34.86833399,14.85301993,0.0005,48,73,6,31,136,96,0,20,25,186,2958,47,1,48,36.15346222499412,1.2847751371388634,207.96218188929143,69.70780697963569,0.4730050318329544,371.11754402512463,70.90832399124577,1.7788551127984265,473.0722335,34.092062127535854,1.4425950021580392,349.65728238645164
경기도 화성시 봉담읍,31240120,"13,611",94785,39836,34.16758711,14.35986707,0.0014,261,205,40,157,791,364,18,102,172,996,8344,257,,257,46.09291896608375,1.3765498235315097,253.79729242316463,70.47780433,1.058953176393622,360.4254110016049,48.826547068253646,1.212392845447352,222.1315650019252,44.06675708787322,1.7307991185387246,298.9047952307699
경기도 화성시 우정읍,31240130,"4,915",17411,9365,52.48264816,28.22928034,0.0005,61,31,7,65,301,103,39,81,48,365,6368,187,,187,18.857702851009154,1.2282020700351437,158.5311783461358,28.88971527512345,1.0564742847413042,183.17909745253377,21.213693624839483,1.3942936035098423,140.7460421146377,5.462988254575253,1.1881999453701175,
경기도 화성시 향남읍,31240140,"18,236",85268,39760,45.86519115,21.38668668,0.0018,219,183,41,178,877,489,37,146,255,1463,9175,301,,301,27.710609765688265,1.4836885164992806,191.76045829840768,69.47060378225862,0.4267654825109575,292.1222756007237,25.17261150727569,1.5904839586305228,157.1971561772664,14.703371681151692,1.8712065740811088,122.476572
경기도 화성시 남양읍,31240150,"13,479",57316,28317,47.6003814,23.51699351,0.0014,300,90,24,178,563,285,15,102,123,884,7899,255,,255,31.97530928999568,1.345300966,209.7092242441992,87.08336694583262,0.4772471303512107,283.30636777257195,25.36232746152515,1.2180953174276852,195.4776543886168,30.20897077377605,1.601798378280573,328.88513080398207
경기도 화성시 매송면,31240310,"1,706",6669,3501,48.72893459,25.58104663,0.0002,33,6,1,21,91,30,3,19,17,87,637,87,2,89,11.76845056296465,0.9133551511546334,,47.52226141552501,0.3974632805984311,127.91489950325506,20.731527531539733,0.7507966714718298,118.20481998150704,,,
경기도 화성시 비봉면,31240330,"2,583",7496,4444,58.12331233,34.4583778,0.0003,37,6,1,52,107,43,4,34,14,113,796,97,,97,20.5956108,1.3032552860187994,138.6697151690131,49.22806053,0.3755571092124112,,48.948606137354375,0.7358624676540111,156.35549406535432,,,
경기도 화성시 마도면,31240350,"2,433",6805,4041,60.20786934,35.7531227,0.0002,51,6,4,84,163,55,13,39,20,161,1037,112,,112,16.747863066921177,1.398302599786774,203.0879037693827,16.67778519012675,1.0006671114076051,211.2519457416055,19.44614492250682,1.347924504238749,161.80351227715576,11.614379664738376,1.354098483253251,186.00637354700197
