행정구역_x,행정구역분류,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식,sum_all_shop,count_bus,count_도시철도,count_transport,단독다가구 월세 단위면적당 보증금,단독다가구 단위면적당 월세금,단독다가구 전세 단위면적당 보증금,아파트 월세 단위면적당 보증금,아파트 단위면적당 월세금,아파트 전세 단위면적당 보증금,연립다세대 월세 단위면적당 보증금,연립다세대 단위면적당 월세금,연립다세대 전세 단위면적당 보증금,오피스텔 월세 단위면적당 보증금,오피스텔 단위면적당 월세금,오피스텔 전세 단위면적당 보증금,평균 월세 단위면적당 보증금,평균 단위면적당 월세금,평균 전세 단위면적당 보증금
경상남도 김해시 대동면,38070370,1341,5258,2860,46.88811189,25.50399391,0.0001,17,11,2,33,90,29,1,18,6,97,936,212,0,212,19.67095187456024,0.5933960639535407,89.58684615,90.22630850357524,1.0725660560643984,345.9686892762819,70.29362820419793,1.1199755504739544,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,62.71350049163065,1.1386231605645551,285.7204207873915
경상남도 김해시 동상동,38070510,2179,9043,4631,47.05247247,24.09598585,0.0002,45,14,0,14,193,76,3,21,6,134,1594,40,0,40,33.65448033747973,0.9361886208265836,143.125087,25.38369317542707,0.8080895386160408,195.25966527561368,41.92090265961441,0.5318968927839348,135.8092703260521,14.983518130056938,0.8091099790230747,438.8235336550541,28.985648575644536,0.7713212578124085,228.25438906418
경상남도 김해시 회현동,38070520,1835,8428,4166,44.04704753,21.77266255,0.0002,50,23,5,24,357,95,25,32,18,286,2129,38,0,38,23.952907750808613,0.8549665253298926,180.9530747342688,42.50127451899099,0.9114552508442508,357.1616270114921,37.27451616989037,0.8221328077546115,175.78212862950394,28.983985003070952,1.2850726074099803,438.8235336550541,33.17817086069023,0.9684067978346838,288.18009100757973
경상남도 김해시 부원동,38070530,2347,9210,4791,48.98768524,25.48317047,0.0002,297,20,20,50,279,117,63,41,25,453,2652,39,2,41,30.74240893496512,0.8651130526116101,86.44530049,23.63117157995689,0.7097580141351175,130.7189542,44.8793433,0.6384942118183857,90.52698611,32.56251322963849,1.4949659972756433,389.2470591296097,32.953859261140124,0.9270828189601892,174.23457498240242
경상남도 김해시 내외동,38070540,12279,71343,32234,38.09331761,17.21121904,0.0012,176,174,52,130,1096,531,10,115,168,1205,5023,194,2,196,19.65551047858956,0.998833347,110.55127284639607,49.0675775,0.7783063956422903,203.8260825986916,64.52680940717131,1.080104329651999,170.49486804970266,26.05617743209393,1.2101928912578404,282.8546917,39.8265187,1.0168592408880324,191.9317287986976
경상남도 김해시 북부동,38070550,9659,82221,33213,29.08198597,11.74760706,0.001,150,144,22,72,512,385,19,67,137,1005,3951,230,3,233,24.21532128125119,0.8772876884340405,129.64465823566596,48.57287736165337,0.7823254114681133,222.64921191234825,106.46072917754884,0.4257867178104613,173.97318984938937,27.149816204187697,1.4517698886232508,204.9541198458632,51.59968600616027,0.8842924265839665,182.8052949608167
경상남도 김해시 칠산서부동,38070560,2038,9098,4515,45.13842746,22.40052759,0.0002,63,5,1,43,237,104,1,55,22,151,2210,125,1,126,33.68284945,0.8994887330047299,105.77856896315312,40.04004004004004,0.7507507507507508,212.4346568791013,121.8793696842586,0.5576926304991048,108.66395621438352,70.66311338418919,1.7685549717663267,438.8235336550541,66.56634313962195,0.994121772,216.4251789
경상남도 김해시 활천동,38070580,6846,37672,17387,39.37424513,18.17264812,0.0007,126,52,13,58,398,310,48,75,108,716,3613,109,1,110,30.13717832,0.8980460502676025,138.29127803305627,33.06966801007101,0.7270261316024688,155.52519740360663,34.06277734545108,0.6383619819767444,115.9056783880094,23.399788351875166,0.9332084705317162,438.8235336550541,30.16735300786797,0.799160659,212.1364218699316
경상남도 김해시 삼안동,38070590,7306,33344,16410,44.52163315,21.91098848,0.0007,55,41,2,71,363,217,16,50,52,537,3214,88,1,89,27.51524044441911,0.874093648,144.27063992756226,33.589434526053985,0.7381066114547652,214.3543365734292,51.93577473559829,0.7740071675590793,163.59963754436413,24.77420145840616,1.0123948895299288,438.8235336550541,34.453662791119385,0.8496505791359433,240.2620369251024
경상남도 김해시 불암동,38070600,919,6865,2949,31.16310614,13.38674436,0.0001,22,6,0,13,100,42,0,15,19,111,2187,59,2,61,22.134521177181984,0.7160007143019379,96.0,56.55472015315684,0.6447328015732258,190.79547447021824,33.784266629860944,0.4118040158393238,89.98119795863552,70.66311338418919,1.7685549717663267,438.8235336550541,45.78415533609724,0.8852731258702036,203.90005152097692
경상남도 김해시 장유1동,38070610,6179,56046,22321,27.6824515,11.02487243,0.0006,73,98,18,63,551,191,8,52,62,521,3637,185,0,185,19.564019050645133,0.9143160629548024,117.74528326176431,42.81782009678328,0.7694883106088329,226.69103317992275,22.124286327652342,0.9955928847443554,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,38.792309714817485,1.1119880575185794,262.94061604124283
경상남도 김해시 장유2동,38070620,5159,37680,15678,32.90598291,13.69161359,0.0005,158,97,11,67,353,232,52,53,103,804,4017,109,0,109,18.01192635119766,1.0016736461021334,133.59634509742563,40.2870263,0.8990111404112341,235.1038919700649,70.29362820419793,1.1199755504739544,268.5026140682301,14.94027255576117,1.170098777755053,140.16998620324216,35.88321335278919,1.047689778685594,194.34320933474072
경상남도 김해시 장유3동,38070630,6661,73981,27550,24.17785844,9.003663103,0.0007,97,335,33,102,559,367,1,37,125,956,4785,186,0,186,21.53745707237912,0.9170287653079487,127.65515567504866,90.83191338076902,0.4916841242418305,277.3477888247363,19.252182670553275,0.653169926,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,50.571166626972655,0.9576094468290264,278.0822730557673
경상남도 밀양시 삼랑진읍,38080110,2028,6282,3593,56.44308377,32.28271251,0.0002,5,6,2,21,99,36,18,6,3,159,1059,112,0,112,30.53073971749381,0.4030577377787152,122.0728487177988,16.725204883759826,0.4181301220939956,345.9686892762819,24.56543771197426,0.4783892486565298,17.280110592707793,70.66311338418919,1.7685549717663267,438.8235336550541,35.621123924354265,0.7670330200738917,231.03629556046064
경상남도 밀양시 하남읍,38080120,1896,6732,3767,50.33182904,28.16399287,0.0002,7,1,1,16,91,50,4,10,14,166,1123,51,0,51,10.817123727516478,0.715240279,34.88372093023256,2.5510204081632653,0.8928571428571428,345.9686892762819,22.45520055322412,0.5149621744927245,102.35159062489409,70.66311338418919,1.7685549717663267,438.8235336550541,26.62161451827326,0.9729036420290484,230.50688362161569
경상남도 밀양시 부북면,38080310,1538,5005,2897,53.08940283,30.72927073,0.0002,10,8,0,5,51,24,19,6,8,64,1641,104,0,104,14.79719083429679,0.3685845279386502,178.45337422464067,31.09465389338851,0.5272349705462156,345.9686892762819,70.29362820419793,1.1199755504739544,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,46.71214658,0.9460875051812868,307.9370528060517
경상남도 밀양시 상동면,38080320,1137,3069,1923,59.12636505,37.04789834,0.0001,9,1,0,7,20,4,21,2,4,31,1389,58,0,58,32.47657490467508,1.015736515661621,55.45872286483917,90.22630850357524,1.0725660560643984,345.9686892762819,70.29362820419793,1.1199755504739544,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,65.91490624915934,1.2442082734915751,277.18838996610134
경상남도 밀양시 산외면,38080330,929,2793,1655,56.13293051,33.26172574,0.0001,3,1,0,6,32,5,21,3,3,62,1791,43,0,43,17.581273951137593,0.4086268295830794,47.51045229950589,90.22630850357524,1.0725660560643984,345.9686892762819,70.29362820419793,1.1199755504739544,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,62.19108101077499,1.0924308519719397,275.20132232476806
경상남도 밀양시 산내면,38080340,1136,3747,2191,51.84847102,30.3175874,0.0001,1,5,1,6,81,10,45,2,2,60,2240,40,0,40,32.47657490467508,1.015736515661621,178.45337422464067,90.22630850357524,1.0725660560643984,345.9686892762819,70.29362820419793,1.1199755504739544,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,65.91490624915934,1.2442082734915751,307.9370528060517
경상남도 밀양시 단장면,38080350,1483,4248,2625,56.4952381,34.91054614,0.0001,11,5,1,10,59,4,164,4,4,146,2540,66,0,66,5.050505051,0.4545454545454545,201.61290322580643,90.22630850357524,1.0725660560643984,345.9686892762819,70.29362820419793,1.1199755504739544,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,59.05838878574058,1.1039105082125336,313.7269350563431
경상남도 밀양시 상남면,38080360,1896,7874,4127,45.94136176,24.07924816,0.0002,5,3,1,17,84,39,1,13,4,82,2478,81,0,81,17.189469987838564,0.5156146968655947,92.4875601,39.16708533923454,0.4730547584094422,122.73421998190692,30.643637183451062,0.5248399214727665,117.20880957631928,70.66311338418919,1.7685549717663267,438.8235336550541,39.41582647367834,0.8205160871285325,192.81353082832007
경상남도 밀양시 초동면,38080370,1051,3309,1981,53.05401312,31.76186159,0.0001,2,2,0,9,23,8,8,5,3,25,2258,55,0,55,32.47657490467508,1.015736515661621,178.45337422464067,90.22630850357524,1.0725660560643984,345.9686892762819,70.29362820419793,1.1199755504739544,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,65.91490624915934,1.2442082734915751,307.9370528060517
경상남도 밀양시 무안면,38080380,1504,4784,2751,54.67102872,31.43812709,0.0002,4,2,0,10,47,24,4,3,3,77,2384,89,0,89,16.307992385982864,0.2655212664862273,178.45337422464067,90.22630850357524,1.0725660560643984,345.9686892762819,70.29362820419793,1.1199755504739544,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,61.87276061948631,1.0566544611977269,307.9370528060517
경상남도 밀양시 청도면,38080390,647,1713,1107,58.44625113,37.76999416,0.0001,0,1,1,1,11,2,3,1,1,15,2216,32,0,32,26.521164021164022,0.4662698412698412,138.5463765132387,90.22630850357524,1.0725660560643984,345.9686892762819,70.29362820419793,1.1199755504739544,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,64.42605352828159,1.1068416048936305,297.9603033782012
경상남도 밀양시 내일동,38080510,736,2586,1445,50.93425606,28.46094354,0.0001,7,5,5,5,254,62,8,5,6,111,3148,27,0,27,8.812494227264825,0.3813510546027918,178.45337422464067,28.373753818254624,0.6844792545369677,125.48625925461162,11.153245594467991,0.4461298237787196,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,29.75065175604416,0.8201287761712015,252.8164453006341
경상남도 밀양시 내이동,38080520,4016,17528,8735,45.97595879,22.91191237,0.0004,144,18,10,60,302,209,15,46,45,495,1382,69,0,69,22.809545488004336,1.0118052529064083,144.9394669142073,33.90217256,0.3628631633210581,99.91764001197964,16.353355713349604,0.6282164367738761,125.45046337448194,70.66311338418919,1.7685549717663267,438.8235336550541,35.93204678638578,0.9428599561919172,202.28277598893075
경상남도 밀양시 교동,38080530,1162,5377,2681,43.34203655,21.61056351,0.0001,10,7,0,14,33,24,4,8,5,34,216,40,0,40,40.47111547083348,0.690577789,178.45337422464067,34.28389941230979,0.4760356375750676,108.9515217914219,70.29362820419793,1.1199755504739544,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,53.9279391178826,1.0137859872038373,248.6827609348367
경상남도 밀양시 삼문동,38080540,2737,19546,8348,32.78629612,14.00286504,0.0003,19,67,8,27,168,152,10,14,51,439,1089,42,0,42,18.478298855244034,0.9612156527235134,139.17525773195877,41.508770773165445,0.4087171940018213,114.63674602345824,20.70850759734283,0.9163377697462864,121.61968808127055,70.66311338418919,1.7685549717663267,438.8235336550541,37.839672652485376,1.013706397059487,203.5638063729354
경상남도 밀양시 가곡동,38080550,2095,7491,4080,51.34803922,27.96689361,0.0002,5,8,3,7,53,38,8,9,4,110,439,24,0,24,17.851158684847036,0.6308362636967251,60.50338818973862,22.523991166654948,0.6458677966805043,96.85110950933736,33.99037415800586,0.7790770350815385,126.2799148,70.66311338418919,1.7685549717663267,438.8235336550541,36.25715934842426,0.9560840168062736,180.61448653853253
경상남도 거제시 일운면,38090310,1816,8038,4071,44.60820437,22.59268475,0.0002,20,11,2,11,93,23,257,9,15,243,1106,84,0,84,16.339487751895756,0.6290769907938674,51.02040816326531,25.159501280114885,0.415542554,142.6485057212094,9.888172592121032,0.7257764299192683,147.3287451518083,70.66311338418919,1.7685549717663267,438.8235336550541,30.512568752080213,0.8847377366198657,194.9552981728343
경상남도 거제시 동부면,38090320,818,2935,1639,49.90848078,27.87052811,0.0001,2,5,1,5,65,7,134,11,11,89,835,120,0,120,15.0,0.6,46.08177836107937,90.22630850357524,1.0725660560643984,345.9686892762819,70.29362820419793,1.1199755504739544,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,61.545762522990586,1.140274145,274.8441538401614
경상남도 거제시 남부면,38090330,496,1490,901,55.04994451,33.2885906,0.0,0,2,0,0,61,1,100,1,9,69,669,56,0,56,32.47657490467508,1.015736515661621,178.45337422464067,90.22630850357524,1.0725660560643984,345.9686892762819,70.29362820419793,1.1199755504739544,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,65.91490624915934,1.2442082734915751,307.9370528060517
경상남도 거제시 거제면,38090340,1367,7030,3417,40.00585309,19.44523471,0.0001,14,13,1,3,100,40,34,8,9,118,992,65,0,65,10.32084106378252,0.5153168081104827,100.0,12.542190136649992,0.5854537304450582,345.9686892762819,12.075812992319026,0.5766825491408789,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,26.40048939423518,0.8615020148656867,288.3237092498915
경상남도 거제시 둔덕면,38090350,659,2737,1468,44.89100817,24.07745707,0.0001,4,5,0,0,17,4,15,5,4,28,685,77,0,77,13.251371203271406,0.2875396969007312,211.2063610386384,90.22630850357524,1.0725660560643984,345.9686892762819,28.872868387650207,0.516143085,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,50.75341536967151,0.911200952432864,316.1252995095512
경상남도 거제시 사등면,38090360,2180,12230,5686,38.33978192,17.82502044,0.0002,25,11,1,10,136,32,98,17,14,180,1289,122,0,122,10.359330502501118,0.6219555706748393,117.7636252263118,15.537827462556615,0.5860304461493799,155.85315737620795,18.63666040866382,0.596401787,61.65519042910498,70.66311338418919,1.7685549717663267,438.8235336550541,28.799232939477683,0.8932356938976365,193.5238766716697
경상남도 거제시 연초면,38090370,2248,8230,4372,51.41811528,27.31470231,0.0002,36,2,1,8,112,62,3,28,9,101,1183,118,0,118,12.02663539516314,0.619677204,131.51154654669327,10.015782798290587,0.4858649621898516,87.68777788985474,23.733238400379733,0.2966654800047467,66.28369421122405,70.66311338418919,1.7685549717663267,438.8235336550541,29.109692494505666,0.7926906544902312,181.0766380757065
경상남도 거제시 하청면,38090380,1167,4299,2356,49.53310696,27.14584787,0.0001,7,7,0,1,36,7,66,9,7,66,1025,118,0,118,11.981294907132249,0.6080607382943632,193.6431623931624,95.11686378104662,0.4425670043926933,345.9686892762819,70.29362820419793,1.1199755504739544,80.35355564483729,70.66311338418919,1.7685549717663267,438.8235336550541,62.01372506914149,0.9847895662318344,264.69723524233393
경상남도 거제시 장목면,38090390,1238,4205,2410,51.36929461,29.4411415,0.0001,10,1,0,15,95,11,178,13,16,173,1372,140,0,140,20.47385800988491,0.5533333206697152,34.0,90.22630850357524,1.0725660560643984,345.9686892762819,7.976949805841042,0.5982712354380781,138.96911918083524,70.66311338418919,1.7685549717663267,438.8235336550541,47.33505742587259,0.9981813959846296,239.4403355280428
경상남도 거제시 능포동,38090530,1684,8720,4149,40.58809352,19.31192661,0.0002,7,9,0,4,74,53,12,12,14,143,1785,10,0,10,9.782760480275448,0.5432592082644123,61.54028114,5.070435177504698,0.4651888393670006,133.5882642709838,6.648273111059403,1.3296546222118806,43.53883664228492,6.584421864352184,0.9342324606997086,438.8235336550541,7.021472658297933,0.8180837826357505,169.37272892708071
경상남도 거제시 아주동,38090540,3341,25943,10339,32.31453719,12.87823305,0.0003,36,52,2,17,134,108,2,36,45,369,2429,44,0,44,5.178509866033616,0.673107524,137.8523571146522,12.043558986092693,0.8248095377842646,171.83355387186964,5.4003718918818056,0.7381033672215944,268.5026140682301,11.32794408,0.8386079042734761,147.33511003196682,8.487596206,0.7686570833198338,181.38090877167969
경상남도 거제시 옥포1동,38090550,1654,6760,3455,47.87264834,24.46745562,0.0002,49,11,2,11,147,86,30,33,36,396,2621,23,0,23,32.47657490467508,1.015736515661621,178.45337422464067,7.765393974836907,0.4413121626702956,69.93365364694492,7.207490956678365,0.7219482766185956,79.00974453515934,10.538141912314856,0.7372323672697588,123.7647070735708,14.49690044,0.7290573305550677,112.79036987007892
